,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
15,"V-LOG | 네일리스트 일상브이로그(도깨비젤,네일샵브이로그,자석젤,열손연장,바다네일,휴가네일,마블네일,인어공주네일,픽시네일,크리스피도넛)",https://www.youtube.com/watch?v=zHT8G8m6StM,31101,2020-08-02,0:20:00,
16,"V-LOG | 네일리스트 일상브이로그(2만명감사합니다 🥳❤️,네일리스트일상,여름이불교체,글리터프렌치네일,풀스톤네일,시럽네일,브이컷네일,원목거울언박싱,테이블조립하기,꿀주말보내기)",https://www.youtube.com/watch?v=EeUyFBiC6M0,33444,2020-07-22,0:24:25,
17,"V-LOG | 네일리스트 일상브이로그(도깨비젤, 재료언박싱,네일샵일상,재인패커,향수추천,유부초밥,자취일상,타이니 신상시럽젤,픽시패디,마블네일하는법)",https://www.youtube.com/watch?v=q96EKPxOhX8,75352,2020-07-12,0:27:44,
18,"V-LOG | 네일리스트 일상브이로그(nail shop ASMR,이벤트 선물 택배포장, 원컬러 깔끔하게 바르는방법, 재료언박싱, 픽시추천, 오팔픽시, 네일샵일상, 이달의아트작업)",https://www.youtube.com/watch?v=OHrwpW6EccQ,53953,2020-07-05,0:30:40,
19,"V-LOG | 네일리스트 일상브이로그(구독자님들 모두 감사해요❤️,구독자이벤트 랜덤추첨,웨딩네일,택배언박싱,재료정리,파우더네일,네일샵브이로그,영상댓글달기,집게삔추천)",https://www.youtube.com/watch?v=pS8Qr60rSi4,45575,2020-06-28,0:24:39,
20,"V-LOG | 네일리스트 일상브이로그(너무 바쁜 😂 네일샵여름일상,젤라또 띠부띠부팁,글리터네일,댕글파츠네일,대리석네일,유리알네일,네일재료언박싱,신상컬러챠트만들기,픽시네일)",https://www.youtube.com/watch?v=15MkZSVjeUY,54518,2020-06-22,0:24:28,
21,"V-LOG | 네일리스트 일상브이로그(네일샵브이로그,물결네일하는법,셀프발각질제거🦶🏻,이달의아트,파스텔나비네일🦋,젤리네일,유리필름네일,콩국수 진미집,세리오오일,페인팅네일)",https://www.youtube.com/watch?v=d9c-YqGrZOU,54613,2020-06-07,0:14:40,
22,"V-LOG | 네일리스트 일상브이로그(셀프네일하기,웨딩네일,브로치네일,네일재료언박싱,초음파세척기구매🧚🏻‍♀️,6월이달의아트,재료정리하기,글리터네일,유화네일,아트재료구입하기)",https://www.youtube.com/watch?v=PqdlhAh1RlQ,160288,2020-05-31,0:21:42,
23,"V-LOG | 네일리스트 일상브이로그(나비네일🦋,풀컬러네일,유화네일,여름신상언박싱🎁,쇼미 쿠잉프리즘,타이미젤 슈팅소다,막창먹기,아이폰se2구경하기)",https://www.youtube.com/watch?v=_HcyexnAmTM,43010,2020-05-24,0:12:18,
24,"V-LOG | 네일리스트 일상브이로그(이병률-끌림 산문집📒,라인테이프붙이는방법,진비 가이드젤 열손연장,레드네일,집청소하기,프렌치네일,자개네일,집에서보내는불금💫)",https://www.youtube.com/watch?v=drkEiuLbEYo,30422,2020-05-17,0:12:41,
25,"V-LOG | 네일리스트 일상브이로그(꽃집알바하기🦋,아이패드 샀어요 yay🎷,아이패드 에어3세대,붓그라데이션,열손연장하는방법,스톤아트,레터링네일,도넛네일,덩어리네일)",https://www.youtube.com/watch?v=yMBRtYsqq7c,39992,2020-05-09,0:12:38,
26,"V-LOG | 네일리스트 일상브이로그(전주가기,진비아이비쉬머프리즘,열손연장하기,진비가이드클리어젤,연장젤추천,대리석네일,셀프네일컬러추천,이달의아트하기)",https://www.youtube.com/watch?v=9pRxctzB24s,35312,2020-05-02,0:10:54,
27,"V-LOG | 네일리스트 일상브이로그(선물언박싱,그라시아감사합니다♡,데이브레이크,가족모임,행복했던생일날,쉬는날집청소하기,첫와인바,감자튀김만들기,강아지산책하기,마스크그만쓰고싶다😭)",https://www.youtube.com/watch?v=AMuh5IzW4ug,13398,2020-04-26,0:07:12,
28,"V-LOG | 네일리스트 일상브이로그(생딸기🍓라떼 만들기,카레만들기,자취생활,오설록그린티랑드샤,스타벅스케익뇸🍰,마블네일,파우더네일,데이지네일,댕댕이간식언박싱)",https://www.youtube.com/watch?v=v26wQ-_NiVE,31611,2020-04-18,0:12:06,
29,"V-LOG | 네일리스트 일상브이로그(셀프네일,누텔라바나나토스트,전주가기,뿌링클💛,강아지랑출근하기,사전투표하기,사회적거리두기😭,재료정리,돌맹이네일,브이컷네일,마블네일)",https://www.youtube.com/watch?v=WmdPjJuKM1g,40556,2020-04-12,0:11:54,
30,"V-LOG | 네일리스트 일상브이로그(도밍고 꿀차, 도넛네일,마블네일,물결네일하는법,브이컷하는법,스톤정리,샵청소,강아지산책하기🤍)",https://www.youtube.com/watch?v=m32kw32aDl8,80830,2020-04-04,0:11:49,
31,"V-LOG | 샹들리에 네일(Chandelier nails),연장하는방법,셀프네일(self nail),파우더네일",https://www.youtube.com/watch?v=dY471Ri-x5A,92285,2020-04-02,0:11:27,
32,"V-LOG | 네일리스트 일상브이로그(컬러정리,스누피찰리엠보만드는방법,염색했어요🥳,대리석네일,그라네일,집순이일상,강아지랑놀기,오랜만에외출😭,이달의아트하기)",https://www.youtube.com/watch?v=urhsMP83coU,40833,2020-03-30,0:12:12,
33,"V-LOG | 크리스탈 픽시 페디(crystal pixie pedicure) 셀프페디, 허리나감주의 ☠️",https://www.youtube.com/watch?v=ZEcleK4zQSo,177678,2020-03-22,0:09:30,
34,"V-LOG | 네일리스트 일상브이로그(구독자 만명 감사드려요🎂 💜,봄맞이 가구위치바꾸기 샵꾸미기 ♡)",https://www.youtube.com/watch?v=AscdH5tq1s4,20349,2020-03-19,0:07:24,
35,"V-LOG | 풀스톤, 브이컷 네일 (full stone nail,V cut nail)",https://www.youtube.com/watch?v=so21j-uOQP4,21985,2020-03-14,0:07:33,
36,V-LOG | 많이 궁금해하시던 샵에서 자주쓰는 재료들 소개할게요 :),https://www.youtube.com/watch?v=oL8xJEjnQn8,32938,2020-03-12,0:07:10,
37,"V-LOG | 네일리스트 일상 브이로그(아웃백,토마호크스테이크,이달의아트,봄아트만들기,강아지발톱깍이기,탕후루해먹기)",https://www.youtube.com/watch?v=L9HFdL_xET4,37832,2020-03-07,0:13:22,
38,"V-LOG | 네일리스트 일상 브이로그(체크네일,스톤네일,그라네일,킹크랩뇸뇸,마카롱뇸뇸)#스톤네일#그라데이션네일",https://www.youtube.com/watch?v=FTEE-4pSO7Q,78475,2020-02-22,0:10:14,
39,"V-LOG | 구독자 6000명 감사드려요 ♡ (니트네일쉽게하는법,유니콘파우더,스누피3d네일,엠보네일,셀프제거)#니트네일#네일브이로그",https://www.youtube.com/watch?v=fDy32_2TvhU,90307,2020-02-09,0:23:27,
40,"V-LOG | 네일리스트 일상 브이로그(스톤네일,풀타임예약,심플네일,마블네일,네일리스트브이로그)#스톤네일",https://www.youtube.com/watch?v=885MTHO2JZs,164483,2020-01-25,0:13:31,
41,"V-LOG | 네일리스트 일상 브이로그(웨딩네일,스누피 찰리 엠보 수제파츠 만들기,이달의아트 하기, 2020새해, 대구나들이)#스누피네일",https://www.youtube.com/watch?v=KYJHxFlwSHc,113250,2020-01-19,0:13:35,
42,"V-LOG | 네일리스트 일상 브이로그(발레리나쉐입,조각풀스톤네일,풀연장,티안나게 연장하는방법,엘사네일)#발레리나쉐입#젤연장",https://www.youtube.com/watch?v=MLInI3Br4Ak,74212,2020-01-03,0:07:46,
43,"V-LOG | 네일리스트 일상 브이로그(연말네일,네일샵브이로그,리스네일,트리네일)",https://www.youtube.com/watch?v=RcdXDfKi-Z0,84455,2019-12-18,0:11:30,
44,"V-LOG | 네일리스트 일상 브이로그(크리스마스아트 만들기🎄,파우더네일 시술하는방법 4주이상유지 꿀팁🍯, 카페가기,선화동카라멜,소고기먹으러가기,나트랑갈준비하기,혼밥하기)",https://www.youtube.com/watch?v=ssAHwSePIDQ,35745,2019-12-05,0:08:39,
45,"V-LOG | 네일리스트 일상 브이로그 (화이트그라 결 없어지는 꿀팁 공개🍯, 체크네일,풀파츠네일,첫스피닝)",https://www.youtube.com/watch?v=8AmnrRDxv1A,219351,2019-12-02,0:07:33,
46,"V-LOG | 네일리스트 일상 브이로그 (파우더네일 유지 오래하는방법 ⭐️, 프렌치네일,밀푀유나베 뇨끼 만들어먹기,온천집,샤브샤브먹으러가기,젠틀핑크 신상컬러 샘플만들기)",https://www.youtube.com/watch?v=gV8rL7rT1FI,24331,2019-11-10,0:09:01,
47,"VLOG | 네일리스트 브이로그,네일리스트의 하루",https://www.youtube.com/watch?v=1VtCY1njFh4,12372,2019-07-25,0:06:25,
