comment,label
"전에 핑쿠 네일도 넘 이뿐데 새로 바뀐 네일도 시크하고 이뻐용! 갓닐라코 바비  콜라보 할때 다 샀는데 츄파춥스가 더 끌리네요 ㅜㅜ 사탕 들어있는더 존귀야  언니들(샌언니,연수언니) 덕에 제로밤 써보게 됐는데 피부 속 까지 화장품 녹여주는 느낌!! 사길 너무 잘한 제품 ㅎㅎ  안 끈적 거리고 넘 좋아요  진심 내돈내산 제로밤",1
오늘도 예쁜 샌언니  바닐라코 클렌징 다들 극찬하길래 궁금했는데 한번 써봐야겠어요 ! 저도 네일 없이 못사는인간이라 아트 저렇게 찾는데 !! 키티 네일 진짜 귀여웠구 요번 네일은 너무 깔끔하면서도 튀어서 예뻐요 손민수할래여 ,1
같은 P로써 너무 공감하면서 봤습니당ㅋㅋㅋㅋㅋㅋ,1
ㅋㅋㅋㅋㅋㅋ샌언니!! 꿀팁 아닌 꿀팁인데 에바치온 진짜 저의 새내기시절 제 간을 지켜준.. 최고의 숙취해소제였슴다 나중에 술 드시는 날 한 번 드셔보세용 아주 말끔한 다음날이 시작됩니다?,1
샌언니 뷰티데이 영상 젤 좋아유  바닐라코 핑크 패드 사봐야겠어요  핑크색 넘나 신기,1
근데 짇짜 바닐라코 클밤 ㄹㅇ 좋은거 인정이에요 4번 짼가 재구매 드랙퀸들도 이걸로 화장 지움요 ㄷㄷ ㅋㅋㅋㅋㅋ,1
"이번영상 넘 조아요.. 원하던 컨텐츠고 음향도 빠방하고..!
저번엔 울림이 많아서 잘 안들렸는데 이번엔 잘들려옹",1
"흑흑 샌언니 넘 에뻐ㅠ ㅜ 
어제 올리브영에서 클렌징밤 구매햇습니닷 히히",1
"머리 다행이에요.. 금발진짜 잘어울리새요,,",1
"진짜 여름 ㅠㅠ 등드름,가드름 스트레스 알라딘필링 아프다해서 겁나는데 그래도 해야겠어유??",1
새은님 브이로그를 재미있게 볼게요,1
"언니 마지막에 입고있는 청바지가 너무 이뻐보여용ㅠㅠ
혹시 사이즈가 몇일까요??",1
온니 항상 영상에 나오는 악세사리 옷 정보 궁금해서 그러는데 정보 잌ㅅ는 옷이나 란경 그런거 알려주면 안될까용!!>?,1
허걱!! 안경 정보 궁금해요오오,1
생얼도 존예…. 미쳤네,1
안경 궁그매요,1
갸아악 벌써 세번째 보는중..  내 맘 속 일등.,1
안녕하세요 새은님 저 영상 보고 팬 되려 합니다 나중에 팬미팅 했으면 좋겠네요,1
네일받을 때 반지 어디껌지 알 수 잇을까용 언니가 끼니까 존예인걸까..,1
언닝 집에서 입으신 착장 정보 궁금해여!!,1
안녕하세용 혹시 마지막에 입으신 바지 사이즈 몇으로 하셨는지 알 수 있을까요??? 새은님 넘예ㅠㅠ??,1
"제품 소개 때 입으신 바지 어디건가용,, 9:34",1
1:18 속눈썹 펌 하러 가실 때 입은 바지 오디껀가요 ?!!,1
언니 꽃 포장할때 입은 흰색티 정보부탁드려요,1
언니진짜 인생머리에여 너무이쁘세요 환해보이고너무이뻐요진쨔ㅠㅠ 외국언니가타용,1
언니 꽃시장 갔다와서 꽃만지는 부분 흰반팔 어디껄까요 !?!,1
엉니 화이트조거 정보 알수있나용...?,1
옹닝 스트라이프 셔츠 정보 알려주세요??,1
"필링 어디서 하시는지 여쭤봐도되나요ㅠㅠㅠ 목뒤랑 등드름때문에 머리도 못묶네요 ,,, ㅠㅠㅠㅠ",1
투명 장스탠드 어디제품인지 알려주세효 ㅜㅜ새은님,1
안경은 어디껀가요????,1
13:43 초부터 나오는 노래 뭔지 알려주세용 ㅜㅜㅜ,1
언니 퓨마 가방 제품명 알 수 있을까용? ????,1
안경 궁금해용 ,1
안경 어디꺼에용?,1
언니 파란 셔츠 어디 거예여??????,1
혹시 14:05 에 입고 계신 청바지 어디 건지 알 수 있을까용 !!!,1
언니 안경...안경어디꺼에여ㅜㅜㅜㅜ,1
퓨마 신발 정보 알려쥬세우??,1
안녕하새은 Saeeun님 아주예쁘군요.,1
꽃ㅠㅠ??????,1
00:39 바지 정보좀요????,1
마지막에입은 흰색반팔 어디서삿오요?,1
언니 인형겉아요…,1
주말에 언니 영상 올라왔다구 알림 떠서 너무 행복해요  ???? LA 현지인 추천 맛집 많아서 너무 좋아요,1
자전거 타면서 보니까 시간 순삭이네?언뉘  모든 영상 중에 룩북이랑 진짜 옷고르는 영상이 젤루 좋아요 ㅠㅠ 언니 영상만 보면 왤케 따라서 여행가고 싶은지 ㅠㅠ 항상 행복만 하세요 인간 바비 그 자체 몸매도 바비걸이야,1
여행의 모든 부분을 영상으로 다 담아주니다니ㅣ.. 항상 재밌는 영상 너무 감사해욥 ,1
LA가 잘어울리는 여자 ??,1
날쌔 좋은날 밥 먹으면서 언니 브이로그 보는 시간이 제일 행복한거 같아요 앞으로 영상 기대할게용,1
와 미쳐따 드디어ㅠㅠ LA가 너무 잘어울리는 여자..♡ 오늘도 너어어어무 이뻐요 언니????? 남자칭구랑 여행 븨로그 완젼 내 최애!!,1
요번 영상 너무 알차고 재밌어요 ㅠㅠㅠㅠ 샌언니 진짜 한국바비 아니냐구 ,1
"아 눈호강 했네요~울 샌님 맛있어 먹어먹어~ 
할때 진짜 귀여웠어요
부롭부롭",1
언니 영상은 봐도봐도 안 질려..,1
대리만족 만땅..?? 너무 예쁘요..,1
진짜 골져스란 단어가 젤 잘어울리시는 제 롤모델분 ..,1
영상을 좋아해주시는 브라질 분들도 계시기 때문에 포르투갈어 자막이 없는게 아쉽네요.????????,0
"Head to Toe가 완벽한 Girl~
로스마미는 LA만 30년,안가본곳이 거의 없을정도요~",1
"가을 되기전에 가을 코디 찍어주세용,,,ㅠㅠ",1
동서양 다 잘어울릴 수 있다면 새은님이져 ㅠㅠㅠ,1
새은님 LA 여행 브이로그를 잘 볼게요,1
나 이 언니 너무 조와 ㅠㅠㅠㅠㅠ?,1
인간 돌스킬 샌님 ,1
멋있어요,1
14:11 웅니.. 렌즈 정보가 넘 궁금해요.. 넘 찰떡..,1
놀이동산 가실때 입은착창 이랑 데우스 사이즈 알려쥬새은??,1
6:23 4일째에 입으신 보라색 후드랑 흰색 반바지 혹시 알 수 있을까용 넘 예뻐요 ????,1
안녕하새은 Saeeun님 LA여행 재밌있었나요.,1
넘 이쁜 새은언냐 인스타에 올리신 조거팬츠글에서 화이트 치마셋업 정보 궁금해요오 ??,1
놀이공원에서 입으신 화이트 카고??파라슈트?? 정보 알고시퍼요,1
엉니영상 극락,1
벌써최고,1
"편안하면서 잘 모아주는 속옷 찾기 힘든데!!
속옷도 미친 패션센스로 코디하는 샌언니 최고다 진짜,,????",1
그레이시 퍼플 색상 진짜 넘ㅁㅁㅁ무 예쁜거같아요ㅜㅜ 원래 예쁜속옷은 불편하다는 선입견을 가지고 있었는데 예쁜데 편하기까지 하다니까 당장 구매하러 가야겠어요...,1
"아웃핏 시즈널 노와이어 브라 퍼플
평생 속옷 사이즈를 잘못 입고 살다가 이번에 속옷 사이즈를 매장에 가서 재보고 알게 되었는데, 직원분이 말씀하기를 솟옥 사이즈를 잘못 입고 있는 여성분들이 정말 많다고 하더라구요
마침 편안하면서도 자연스러운 언더웨어가 어디 있을까 고민하던 중 이렇게 제 워너비 새은 언니가 타이밍 좋게 좋은 언더웨어를 소개해주셔서 얼마나 좋은지....?
속옷이 정말 중요하다고 느끼는 게, 언니가 말하는 것처럼 옷핏에서도 바로 나타난다는 부분에서 정말 중요한 것 같아요! 컵이 들뜨거나 하면 옷이 말려 들어가서 너무 보기 안 좋더라구요 
원래 언더웨어 하면 스킨 색상이나 블랙 색상을 주로 입었었는데, 언니 덕분에 파스텔 톤의 언더웨어에 반해버렸답니다! 퍼플이 이렇게 잘 어울릴 수가 있나요? 언더웨어 소개를 언더웨어만을 이용해서 한 게 아니라 하나의 룩을 만들어서 소개해준 게 정말 언니다워서 너무 반할 수 밖에......??
앞으로도 이렇게 언니 매력이 뿜뿜 담겨잇는 이쁜 룩들 많이 소개해주세요",1
"속옷도 패션으로 만들어버리는 새은온니,,, 언니 필라랑 콜라보하실 때마다 레전드찍으시는 것 같아요!! 그나저나 브라랑 브라탑 색상이며 제품 모두 소장하고싶을 만큼 역대급으로 다 맘에 들어서 고르기 난이도 극악이네요ㅠ 평소면 무난한 색상을 골랐겠지만 fila outfit seasonal no wire bra 톤다운된 핑크색상이 취향저격을 해버렸어요 색감, 아웃핏보정, 소재, 편안한데 처짐없이 적당하게 잘 모아주는 것까지 완벽하네요 필라 언더웨어 일냈다 ",1
"LOOK7
아웃핏 브라탑의 디자인은 물론이고 통기성과 터치감이 굉장히 매력적으로 보여요! 
속옷은 보이지 않는 부분이라 신경을 덜 썼었는데 이번 새은님 영상을 보니 속옷부터 제대로 입어보고 싶어요
속옷 이외에도 이너로 착용할 때 새로운 멋이 돋보이는 것 같아요
저는 특히 LIGTH MELANGE 컬러가 마음에 들어요
평소 밝은 컬러의 제품을 선호하는 편이라 좋아요
그리고 헴라인 요즘 방학때 인턴으로 슬랙스를 입게되면서 필요성을 느꼈는데 엉덩이를 감싸주면서도 라인이 안 비치는 드로즈 팬티는 부드럽고 탄력 있는 제품으로 꼭 한 번 착용해보고 싶어요오",1
"새은님 영상 보자마자 휠라 달려가서 입어보고 너무 편하고 모양예쁘게 잘 잡아줘서 두색상이나 바로 겟챠했어용,, 홍보 영상마다 제품 설명을 너무 잘해주셔서 항상 구독 하고 영업 잘 당하고 있답니다>< 실물과 똑같아 색이 다 예뻐서 깔별로 다 소장하구 싶지만 몰드부착형런닝형브라탑도 입어보고싶어서 라이트멜란지 색상으로 이벤트 참여합니당 ??????",1
Look5! 진짜 제가 좋아하는 세련된 너낌...개인적으로 속옷의 중요성을 신경쓰지 않고 살아왔는데 샌언니 영상을 보고 확실히 느껴지네요?? 트렌디하고 어디에나 어울려질 수 있는 블랙컬러 애정합니다 영상 감사해요????,1
로즈핑크 색 너무 예쁘네요 ㅜㅠ 어릴 때부터 휠라 속옷 자주 착용했는데 이번 시즌은 성숙미도 같이 담아 나온 것 같아서 너무 좋아요!! 새은언니 패션 센스도 미쳐따..,1
"Look 3, 그레이시 퍼플 코디 너무 이뻐요ㅠㅠ 저는 원래 검정 속옷만 입는데 언니 코디 보니까 다양한 컬러의 속옷도 도전해보고 싶어지네요 이번에 휠라 미쳤다..! 평소에 잘 보지 못한 그레이시한 톤의 컬러라 더 소장욕구가 뿜쁌하는 것 같아요 소재도 좋은데 가격도 합리적인 휠라와 완벽 코디 세은 언니의 조합 너무 좋네요????",1
"속옷은 필라 밖에 안입는데 역쉬 새은님두 필라를 픽해주시다니 
필라 속옷 원래도 좋은데 이번시즌은 얼마나 더 좋은원단으로 나왔을지 넘넘 기대되요 >_< 컬러는 뭐 말모 새은님 퍼플색 입으신거 넘 아름다우셔용 바로 퍼플브라 뽐뿌와짜나요 ..",1
예전에 속옷의 편안함을 잘 몰랐는데 요즘들어 속옷의 중요성을 알게되어 네이버랑 유투브 검색 하고 있는 와중에 언니 영상을 보게 되었어요?? 예전 속옷영상도 보고 많이 따라 사서 입었는데 너무 편했어서 이번에도 손민수 하고 싶어여다른것도 다 이쁘지만 Look4 차분한 핑크색이 아른아른거려요,1
"라이트 멜란지 ?? 디자인이며 색감이며 무난하게 잘 입을 수 있을 것 같아요! 통기성도 좋고 뒷라인이 U라인이여서 편하면서도 스타일리쉬해서 완내스 ,, ?????? 저도 피부가 예민한 편이라 소재가 진짜 중요한데, 새은님 픽이라 더더 기대됩니다! 조거팬츠랑 함께 매치해줘도 넘 예쁠 것 가타요",1
"진짜 어떻게 언더웨어도 이렇게 저세상 힙하고 멋지게 스타일링 하시나요ㅠㅠ 언니 코디영상 볼때마다 너무 행복해서 기절할거같아요 
인스타 스토리보고 달려왔습니다 퍼플, 핑크 색감 넘 예쁘네요 ???? 
그레이에 노팬츠룩 코디 미친거 아니냐구요ㅜㅜ 어떻게 저렇게 코디할 생각을 하세요 천재만재 당신.... 이번 영상도 잘 참고할게요 항상 감사해요",1
Look 3  색감 완전 미쳤어요 오묘하면서도 우아한 퍼플색이라니 ! 너무 쨍하지도 않아서 더 예쁜 것 같아요 오늘 영상으로 안에 패드 없는 크로스 햄패널 브라는 처음 알게 되어서 좋아요,1
"웅니가 말한대로 속옷도 하나의 스타일링이라는 말에 공감하며 또 공감..

전체적인 영상을 봤는데 휠라의 디테일 변태스러운 모습을 엿볼 수 있었어요 ㅋㅋㅋㅋ
앞은 은은하게 로고 보이면서 뒤는 네모로고 딱 해두니 포인트로 제격,, 그리고 가슴을 부담스럽지 않게 모아주고 부유방도 커버해주면서 소재마저 지속가능 소재에 시원함까지? 이건 미쳤다 ㄹㅇ (오열)
저는 그 중 로즈핑크 갖고 싶어유
샌언냐의 속옷 추천이라 넘 기대??

LOOK 3, 4 스타일링도 찰떡인데 그레이시퍼플, 로즈핑크 속옷 착용했을 때 너무 예뻐서 헙..하면서 숨참고 봤어요 진짜;
아 그리고 LOOK 7 드로즈로도 레이어드 한다는 것에 머리를 탁 치고 갑니다,,

요즘 유행하는 올드머니룩 해석한 룩북, 아니면 예전처럼 빈티지스러운 느낌 낭낭한 룩북도 다시 보고싶어요>_<",1
"LOOK 5 미쳤다... 휠라 속옷 소재도 진짜 편안한데 핏이 진짜 예뻐서 뭘 입어도 옷태가 나는 것 같아요 ㅜㅜ 진짜 너무 마음에 들어요  제목보고 폭풍 공감하면서 들어왔는데 진짜 안에 속옷 잘 선택해야 옷핏도 몸매도 다 달라보여요! 저도 너무 신기해서 이젠 겉에 걸치는 옷도 그렇지만 안에 웨어 디자인이나 핏도 제일 먼저 보게 되는데, 휠라는 진짜 실패가 없네요 ",1
라이트 멜란지를 마음에 들었어요이번 시즌 제품은 여름에 너무 좋은 것 같고 다야한 옷과 잘 맞춘 것 같다는 기대감이 있어요!!!:),1
"LOOK7 
휠라의 속옷은 정말 편안한 소재와 예쁜 핏으로 누구나 마음에 들 것 같아요!
옷을 입을 때 핏이 참 중요한데, 휠라의 속옷을 선택하면 옷 핏뿐만 아니라 몸매까지 다르게 보여질 것 같아요
속옷 하나만으로도 옷이 더 잘 어울리는 느낌이 들어서 신기해요
특히 휠라는 실패 없이 항상 멋진 디자인과 핏을 제공하는 것 같아요
속옷의 중요성을 다시 한 번 느끼게 해준 소중한 영상 감사합니다",1
"라이트베이지 색 대박이네용!!전 진짜 밝은색 옷을 입을때마다 속옷이 고민이였는데 이 색상이라면 자신있게 입어도 될 것 같더라구요ㅎㅎ
새은언니랑 하나같이 너무 찰떡같은 색상들이여서 그냥 다 너무 잘어울리시는것같아서 부러워요ㅠ모양도 예쁘게 만들어주면서 예쁨까지 잡을 수 있다는게 너무 좋네요!!
사사로운 고민들을 해결해주는 속옷이 아니였나싶고, 무엇보다 통풍이 잘되서 여름에 필수네용",1
"LOOK 1 

차분하고 은은한 베이지톤이 너무 고급스럽고 새은님이 코디한 것 처럼
후드 안에 입고 드로즈 아웃밴드까지 캐주얼 힙하게 코디한거 제일 이뻐요 ??

속옷도 신경써서 입어야 진정한 패션의 완성
이번 휠라 언더웨어 폼 미텼네욤
노와이어가 확실히 가슴 밑이 덜 답답하고 세탁기 돌려도 손상이 잘 안되어서 좋아요!! 생각보다 가슴도 잘 받춰줘서 굿굿

다른 색상들도 깔끔하고 고급스럽댱
언더웨어 룩북을 이렇게 힙하고 멋있게 스타일링 한건 첨봐요???",1
Look3 그레이시 퍼플 컬러 찰떡이에요 언니랑 톤이 너무 잘맞네요 로즈핑크도 너무 예쁘고 필라 이번 시즌 색감을 너무 잘 뽑아서 다 탐나요ㅋㅋㅋㅋㅋ필라 제품은 구매해 본 적이 아직까지는 없었는데 하나하나 소장해서 세트로 모아두고 싶은...?? 언니 코디 너무 예뻐요 항상 따라하기엔 제 몸이 안따라줘서 얼른 운동해야겠어요,1
"저는 look1 라이트베이지 색깔이  너무 예쁘네요! 속옷 유목민이어서 찾고 있는데 휠라 언더웨어 좋네요! 저중심 몰드여서 자연스럽게 감싸주며 예쁘게 볼륨업도 시켜주고, 크로스 햄패널이 모양을 잘 잡아주고 특히 부유방이랑 등살 같은 아웃핏 보정까지 된다니 완전 완벽해요!!!",1
"샌언니..그냥 속옷에 집업만 툭 걸쳤을 뿐인데 왜이리 멋진거야….????
차콜 그레이 색상 너무 이뻐서 갖고싶어요!
휠라에서 이렇게 시크하고 페미닌한 무드의 언더웨어가 나올지 몰랐는데 이번 시즌 디자인도 너무 이쁘고 컬러가 다 미쳤어오… 원픽은 차콜 그레이지만 얼그린이나 핑크도 톤 다운된 컬러라 너무 이쁜 거 같아요?? 
2일에 한 번은 무조건 운동하는 사람이라 운동할 때 이너로 입을 언더웨어를 엄청 중요하게 생각하는데 기존 스포츠 브라들은 숨막히고 소화도 안되는 거 같았는데
이번에 나온 몰드 부착형 런닝형 브라탑은 신축성도 좋아보이고 무엇보다 몰드 부착형이라 빨래할 때도 편하게 할 수 있을 거 같아요! 패드 탈부착형은 빨래할 때 엄청 귀찮고 또 잃어버리기도 쉽더라구요..!
차콜 그레이 런닝형브라탑입고 신나게 운동하고 싶습니다",1
항상 언니 보면서 느끼는거 바디라인이 진짜 장난없음;; 일짜로 쭉쭉 뻗고 허리 라인이랑 어깨 라인이 너무 이뻐요 진짜  하객룩 해주세욤 ㅠㅠ 아직 결혼 식을 많이 안가봐서 적절한 선?을 모르겟어욤 ㅠㅠ 유니크 한거 좋아하는뎁 ㅜ,1
휠라 언더웨어만 꾸준히 사입고 있는데 이번시즌 뜨자마자 바로 블랙구매했는데 언니가 다른컬러 매치해서 룩북 보여주니까 뽐뿌가 너무 와요 노와이어 브라 룩2에서 그린컬러 흑청자켓이랑 매치한게 너무 예뻐요 꼭 저 룩대로 따라입고 싶어요옹ㅠㅠㅠ 다른 컬러들도 다 너무 예쁘고 역시나 또 편해보여서 넘 갖고 싶어요♡,1
라이트 베이지 색상이 가장 마음에 들어요.. 새은님 룩북 영상 보고 나니 정말 편해보이는데 핏까지 너무 예쁜 것 같아서 오래오래 잘 입을 수 있는 것 같아요 넘 갖구싶음...!!!,1
"노와이어속옷은 저렇게 안에 천으로 크로스 되어 있으면 확실히 잘 잡아주고 상대적으로 더 잘 모아주는 것 같은 느낌이 있드라구요... 
웅니의 패션센스는 항상 옳다...",1
퍼플 미쳤다 색감 진짜 저세상급 예뻐서 규매완..,1
"이번에 필라 속옷세트를 구매했는데 넘 너무 편하더라구요
다른라인도 기대가되네오!!
노와이어제품만 입는데 노와이어인지 티도안날정도로 항상 편하더라구요

Look4 딸기우유핑크 속옷 매치가 너무 바비스러워요!!?",1
"Look1
톤다운된 파스텔 진짜 너무 좋아요..
요즘 언더웨어 어디서 살까 고민 중이어서 언니 예전 언더웨어 영상 보려고 들어갔는데 바로 이 영상이 뜨지 모예요!!
진짜 이건 운명이에요??
휠라 브라 오래 사용한 1인 으로서 이번 언더웨어도 넘넘 좋을 거 알아서 더 기대돼요!!",1
"다 너무 예뻐서 어떤 컬러를 골라도 실패하지않을것같지만.. 요즘에 편한게 우선으로 생각돼서 라이트 멜란지 컬러를 골랐어요 ! 노와이어임에도 불구하고 가슴을 예쁘게 잡아줘서 옷태를 예쁘게 만드는게 넘 좋운것같아요  물론 언니의 몸매는 늘 쏘 핫..??
설명도 너무 잘해주셔서 제품 꼭 입어보고싶은 마음이 생겨요..!!
좋은 제품과 좋은 영상 감사합니다 ??",1
Look 4?? 딸기 우유빛 핑크 속옷이라니 너무 러블리해요???? 핑수니로써 놓칠수없쥬 평소에도 노와이어 브라 착용하는 1인으로써 이번 휠라 언더웨어 굉장히 기대감이 큽니당 깔별로 소장하고싶을 정도예요!!,1
"샌엉니 그레이시 퍼플룩 보고 입틀막했더여,,,, 색감 머냐며 미쳣냐며,,,, 파스텔톤이 어째이래 고급스러운지  휠라 이번시즌 일냇네 일냇어 그레이시퍼플이라 너무고급짐니더,,,",1
역시 새은 언니가 새은했다 이런 코디는 어디서 나오는 센스냐묘.. 저는 라이트베이지 컬러에 푸욱 빠졌네요 노와이어는 너무 기대대 구매하러 간다요,1
Look 7 속옷에 진짜 관심 많은데 휠라 속옷은 한번도 안 입어봤어요ㅠ 언니꺼 보고 지금 반해서 바로 사러 갑니다 아니 브라탑이 모양을 너무 예쁘게 잡아줘서 이너로 입어두 좋아요ㅠ 색감도 딱 제가 필요한 색 아주 심플하고 고급스러운 색이에여!! 코디도 너무아 예쁘다 증말ㅠ 휠라 이번에 난리났네,1
"언니 룩북 볼때마다 속옷 정보알아내려고 훔쳐본거 어캐알았됴??? 헤헤 요새 입는 옷들이 거의 얇고 짧고 해서 이너웨어도 그만큼 신경써서 입는중인데 ,,속옷광고도 잘 안받으시는 샌언니픽이라면 당연히 믿고 구매각 아닌가유?? 엄청 기대중입니다! 무줙건 믿고 입는 샌언니픽  얼그린 색상 넘 예뻐요!!!",1
휠라 언더웨어가 유명한건 알았지만 입어본적은 없었는데 이렇게 룩북으로 보니 기능도 좋은것 같고 무엇보다 디자인이 너무 예쁘네요 컬러도 하나같이 다 예쁘구요..♡ 와이어가 없어도 가슴을 잘 잡아준다니 좋네욯ㅎ. !저는 얼 그린 컬러의 제품이 가장 예쁘고 받고 싶네용!,1
챠콜 그레이 진짜 너무 노멀하면서 클래식한게 입기 너무 좋을 거 같아요 요즘 언더웨어 어디걸로 새로사야하나 고민이었는데 헴라인같은 디테일까지!! 휠라 너무 취저에요!??,1
Look 3!!! 색감 완전 제스탈.. 새은님이랑도 젤 잘어울리는거 같아용 ! 와중에 몸매 핫걸?? 편해보여서 저두 착용해보고 싶어용!!,1
하 언니 패션센스는 언제봐도 너무 멋있어요..? 담에 예전처럼 또 직장룩도 해주실 수 있으신가요~? 언니가 말아주는 직장룩 궁금해요,1
룩북 볼때마다 매번 감탄 ... 언니가 추천 해준거라 더 믿어져요 당첨 되면 더 좋겠지만 안된다구 해도 사서 입어볼까 싶네요~~,1
"와.. 브라 유목민인데 예쁜거 추천해주셔서 감사해요 노와이어인데 와이어같은 옷태라니 진짜 신기하네요!!! 

색상도 다 너무 이쁜데 저는 얼그린 이라는 색상이 너무예쁘네요.. 이름도 넘 잘지었다는.. 진짜 고급지게 잘 나온 카키컬러네요 ㅠㅠ
완전 원픽입니다!!

드로즈도 사각이 아님에도 편해보인다니 진짜 예쁨과 편함 다잡았네요

스포츠브라도 운동할때 입기 너무 편해보여요~

휠라 언더웨어는 처음인데 넘 기대됩니다 두근... 샌언니 예쁜거 추천해주셔서 감사해요 히히??",1
"차콜그레이 ??
휠라 속옷을 계속 쓰고있는데 정말 편안함이 장점이고 소재나 색상이 쉽게 망가지지않는게 좋은거같아요! 지금도 착용하고있는데 아주 만족 2번 연속으로 휠라만 사용하고있는데 오래 썼다싶으면 언니가 추천해주신 속옷으로 사서 입어봐야겠어용 믿고 쓰는 휠라 
그리고 색상도 파스텔 색상으로 진짜 잘뽑은거같고 특히 언더웨어가 패션의 유행으로 자리잡고 로우라이즈입을때 패션으로 작용하니까 패션아이템으로도 너무 좋을꺼같아요!! 새은언니가 추천해주시는거라면 진짜로 믿고 쓸만해서 믿음이 가는 생강이로써 언니께 너무 감사드리는게 어느 유튜버보다 참여형으로 많이 이끌어주시면서 많은 기회와 혜택을 제공해주실려고 노력해주시는거같아서 너무 감사드리구 사랑해용 ㅎㅎ !! 유튜버 계속 계속 해주세욤!! 어떤 영상이든 너무 조아욥 ㅠ 
글구 오랜만에 데일리메콥이랑 Q&A영상 보고싶어욥! ㅎㅎ",1
look5요즘 날도 덥고 습해서 속옷 입기도 싫고 몸에 핏 되는 옷 입을때면 속옷 들뜸이나 가슴 모아지는 거 등 신경쓰이는개 많있는데 언니가 추천해주는 거면 너무 좋을 것 같아요! 글구 휠라 속옷 착용하고 있는 사람인데 휠라 속옷 맛집입니다!!!,1
